uid,user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
6428,AkBtT43dYcttxQ3qOzPBAg,Sherri,1035,2007-02-20,2806,1557,3114,0,3,393,26,24,83,23,227,569,527,527,118,50
6461,B0QGBVCUm54vs_waVzcScA,Andi,1081,2005-07-10,1926,1794,2540,0,3,292,23,22,45,33,102,178,377,377,59,11
6552,fdwVdy6TuY1kjYeEPMZKVw,Deb,1494,2006-07-12,1145,326,218,0,3,147,37,22,20,11,104,226,248,248,50,46
6584,R1FVpAyl_BtxHBWdau2VLg,Mark,1592,2010-11-01,7056,729,2716,0,3,48,14,6,0,2,90,219,146,146,54,67
6655,ybJkYYEBvFGVb-or4i9_oA,Rebecca,2013,2007-05-17,3168,1130,924,0,3,149,44,24,26,3,185,295,321,321,67,14
6685,5F_ASUSCHFf3YotkKioZ5w,Ellen,1240,2005-08-21,6442,3841,6272,0,3,494,39,22,106,21,230,398,565,565,114,40
6702,iwQsBQDrpQirBmmCxmzLeQ,Kyle,1005,2010-01-31,619,129,176,0,3,6,4,2,0,1,21,14,9,9,8,4
6727,dLOfp-2TAGAb78jGZPvMoA,Sarah-Jane,1791,2009-09-13,54,1043,658,0,3,468,40,39,12,9,90,545,632,632,154,40
6977,DK57YibC5ShBmqQl97CKog,Karen,1741,2006-01-28,3431,2963,3459,0,3,241,21,23,11,13,106,498,523,523,214,345
6980,8h1r7mXd-H225yDgc4EMPg,Sarah,1065,2005-11-23,5733,1486,2886,0,3,29,9,9,4,15,17,58,43,43,22,1
6989,tfg1Nhwx94Y4GdQHLVawbw,Ed,1015,2006-09-23,135,112,96,0,3,76,9,10,6,2,29,65,100,100,24,4
7050,tH0uKD-vNwMoEc3Xk3Cbdg,Cathy,1117,2012-07-31,39,49,36,0,3,375,21,8,33,4,309,431,654,654,268,198
7158,Ry1O_KXZHGRI8g5zBR3IcQ,John,1177,2010-04-22,394,192,314,0,3,82,23,6,1,10,55,149,151,151,73,13
7250,jX52sZoojxyYV2viWNyO7A,David,1266,2005-09-21,637,425,627,0,3,55,15,2,3,5,67,98,95,95,49,9
7257,nx5-LzxIVXlQrKpWL_3PVQ,Mary,1270,2009-12-01,4,19,5,0,3,30,11,2,4,0,21,24,55,55,37,14
7338,7NeuNizIMb6lB0VoDLNrjQ,Janet,1113,2008-04-03,22,19,27,0,3,15,5,1,1,0,13,10,15,15,4,10
7380,BUB_t_Rvzs1yPEzZipkWjw,Laura,1866,2007-07-16,46842,26217,32893,0,3,1142,144,104,150,46,719,1480,1288,1288,490,174
7383,eSlOI3GhroEtcbaD_nFXJQ,Jason,2230,2011-05-28,53,17,32,0,3,686,82,58,18,16,352,2737,2139,2139,263,186
7384,PKEzKWv_FktMm2mGPjwd0Q,Norm,2049,2008-12-12,1412,865,1496,0,3,598,54,19,15,8,330,1775,1419,1419,582,481
7385,NNgQ8fV5ARQgHw-Ob7l50A,Brad,1056,2008-10-11,94,75,80,0,4,169,32,18,4,4,133,299,203,203,137,12
7387,NDhDMKqSiBc0L06jKlFnmg,Nancy,1002,2010-09-20,136,40,17,0,4,42,17,6,5,1,91,178,93,93,50,8
7412,Z3AYjHqiFJccwaR9qUeOHQ,Angel,1061,2010-04-30,10203,8847,8725,0,3,1552,241,210,19,8,670,1583,2597,2597,949,359
7434,wZPizeBxMAyOSl0M0zuCjg,Jess,3734,2008-08-27,1541,564,1756,0,3,264,34,33,26,16,200,556,513,513,191,87
7591,3mNz5nQFTIBQm0oU5mBR0w,Michelangelo,2084,2010-07-07,16381,16177,16463,0,4,2730,270,388,146,91,1338,4628,3385,3385,2198,3355
7593,RqR1bGDgdOPyHDnI73LeFw,Marc,1346,2008-11-05,15083,19657,13102,0,3,4759,477,380,140,198,2738,7731,8943,8943,1420,1608
7651,o4tYl3Hz0oDfpNn4k02DCw,Sandy,1560,2010-01-20,17013,3253,12759,0,3,1061,120,46,13,8,643,1460,2332,2332,470,834
7673,B7ecAeAIrXg7sgmabS38pg,Stephy,2603,2006-05-12,57551,9643,51975,0,3,3474,291,220,600,142,1694,2359,3229,3229,969,346
7715,OapLWhQI4_Gm32-nYbHmUA,"Yee Gan",2299,2007-05-23,1451,628,1690,0,3,7215,725,948,260,157,4654,13075,11664,11664,3126,4542
7723,zh7sSdnM3CefK8RBRWahZQ,Kat,1017,2008-05-26,6563,3906,8469,0,4,121,26,12,14,5,141,491,392,392,83,96
7738,hUDEUz8PddhVTShshwQWWQ,John,1076,2009-06-13,684,1785,3186,0,3,36,23,10,6,9,119,371,150,150,61,50
8102,9U30DANobkrn3Zlu6T9p6Q,Jeff,1446,2009-01-26,18,3,4,0,3,10,13,5,1,8,22,41,33,33,16,4
8112,m8chY7QWNWfeisYG0yiK4Q,Crystine,1179,2010-02-19,3,7,1,0,3,48,15,7,9,0,50,63,66,66,57,13
8201,rt3PC7WCgCKsoufmQJELfw,Teri,1001,2005-07-06,2919,2255,2650,0,3,950,77,57,118,68,520,1481,1247,1247,391,260
8260,S9Jw00eZHVj5_0sOM_C5Rg,Patrick,1040,2010-02-17,61,120,63,0,3,50,9,3,2,0,54,99,120,120,30,15
8268,fcNU65OaCj7slBJ60VSQgw,Steven,1210,2007-07-08,1545,213,557,0,3,65,14,12,6,4,77,140,182,182,57,12
8442,CIZGlEw-Bp0rmkP8M6yQ9Q,Scott,1885,2009-09-04,2021,993,3010,0,3,398,43,40,5,40,385,914,769,769,350,90
8445,PeLGa5vUR8_mcsn-fn42Jg,Michael,1227,2008-01-05,20264,793,3996,0,4,163,13,8,5,16,112,131,187,187,48,41
8448,CyAl5D-GjX-ZtqdQqG4_ew,Dave,1436,2009-04-30,94,52,8,0,3,21,36,5,1,2,32,57,114,114,117,3
8459,yvXEJcXRtffR2GuWULbRjg,James,1108,2007-03-01,360,293,790,0,3,80,22,14,4,2,61,291,235,235,78,18
8514,MInp33w5vvHeBo68BAPmgw,Jamie,1003,2008-07-03,9157,2083,4179,0,4,45,13,6,5,4,106,383,121,121,86,23
8525,iDlkZO2iILS8Jwfdy7DP9A,Judy,1026,2009-11-07,848,256,1130,0,3,199,18,9,2,8,117,344,298,298,66,51
8539,0lDl1Jg1Qz2KhvkfJKk6fw,Brian,1031,2006-08-25,4836,1837,4122,0,4,251,26,11,22,18,159,317,443,443,96,12
8627,8c3XuWaEQwzbV9AtiXB8mw,Tunaidi,1149,2011-05-15,159,36,46,0,3,21,14,1,3,5,22,43,56,56,23,2
8711,UtmsHIyNNgeVZlm6CYLWjA,Sal,1442,2008-12-04,79,123,29,0,3,12,8,3,1,0,29,70,18,18,19,9
8884,JUlMVyJQ6ijHCdMjs8bGhw,Mike,1007,2008-03-27,34,42,15,0,3,39,16,8,1,1,44,48,55,55,39,1
8952,rCWrxuRC8_pfagpchtHp6A,Darren,1454,2009-02-06,7800,2123,2044,0,3,992,114,120,37,37,755,2121,1405,1405,1146,402
8959,Zl1fJNTzNULZiqBRShxUYA,John,2213,2008-02-03,15238,16065,13820,0,3,1085,180,243,86,164,919,2849,1752,1752,596,84
8974,76vIFZcC7owykCBjMfGVXg,Amy,2003,2011-08-17,3,0,2,0,3,18,7,7,0,2,25,52,40,40,43,40
9164,0G-bcpdR48tfZy6koGUiTQ,Rhea,1945,2008-09-13,8142,912,4426,0,3,325,45,39,20,28,313,560,625,625,227,77
9210,Ctrp5IoEKHkixDSIyYHDpw,Nick,1548,2007-09-10,21,19,2,0,4,18,7,6,3,0,20,53,74,74,38,14
9234,Wu0yySWcHQ5tZ_59HNiamg,WaYnE,1069,2010-03-30,2409,4894,2602,0,3,317,67,7,11,20,620,1513,326,326,115,278
9458,uWhC9eof98zPkvsalgaqJw,Madelyn,1893,2014-01-16,233,52,180,0,3,69,16,4,2,6,140,329,188,188,122,85
9679,Ug0ujy9-jd0Oc2nk3KIotA,Messer,2029,2011-03-14,11174,11346,10763,0,4,331,62,95,18,43,560,2330,720,720,201,389
9713,aKY4eFOJeCaXnw1jGPozTw,Sandra,1291,2011-05-03,13490,357,7487,0,3,258,29,14,10,0,129,156,434,434,187,178
9726,X_wC1rgLot5xYG1-fzEpaQ,Enrique,1336,2013-05-07,16052,1279,7265,0,4,250,215,16,23,2,311,1199,374,374,484,250
9814,CqkdpG2tkCPQA69umlAHsA,Eleanor,1241,2010-01-26,363,418,334,0,3,36,4,1,6,3,18,34,53,53,28,12
10243,cQAZN2ZKyMI1GXGm36lDhg,Tim,1076,2007-05-13,60,34,22,0,3,76,27,13,11,7,34,95,124,124,43,8
10460,0zDHiDbj79uBOy3OAcE25A,Maruko,1281,2011-09-29,9,0,0,0,3,4,2,1,1,0,6,9,6,6,14,14
10601,IcQJ9Ewki9Bu0cR-D__pXg,Andreas,1169,2010-11-06,17645,1831,10426,0,3,231,123,25,30,16,803,4240,797,797,312,150
10610,-3s52C4zL_DHRK0ULG6qtg,Sara,1572,2010-05-16,25,10,2,0,3,11,6,1,2,0,17,43,16,16,11,2
10977,rv9d5TcnnxuOCX7ole_Clg,Jon,1461,2008-10-03,2848,457,2715,0,3,25,6,4,1,1,39,88,52,52,37,6
10981,4wp4XI9AxKNqJima-xahlg,Rachel,1034,2011-01-05,4794,462,5101,0,3,378,50,23,29,14,674,2226,822,822,288,75
11200,-DFCC64NXgqrxlO8aLU5rg,Roanna,1034,2006-03-28,2978,1185,635,0,3,235,34,7,13,26,189,954,413,413,92,46
12261,y3FcL4bLy0eLlkb0SDPnBQ,Mel,1062,2011-12-11,2317,2203,2239,0,3,725,53,30,7,19,341,1055,1072,1072,427,257
12262,WeVkkF5L39888IPPlRhNpg,Kris,1069,2012-04-18,18263,16718,17834,0,3,529,86,30,31,19,1179,3385,1124,1124,331,267
12290,0QeJC2inz6P-OVzROU_LNw,Tram,2174,2009-03-10,3162,2776,2935,0,3,3181,199,199,270,30,1266,1323,2893,2893,1077,1320
12320,p3heVCnq3M0H2LMxIuuc5g,Andreas,1105,2009-01-19,3140,1589,2144,0,3,73,16,14,7,8,49,167,135,135,44,9
12436,RBZ_kMjowV0t6_nv2UKaDQ,Lindsey,1010,2010-01-11,447,195,230,0,4,555,45,42,66,29,678,2178,911,911,329,142
12534,Ma_gwnVShENgTuhHNpAvyQ,David,1717,2009-08-30,1,1,1,0,3,14,10,6,0,1,20,30,40,40,35,36
12695,tlY0QMQDyfjQAEwHnzvFnw,Ken,1574,2008-04-04,66,52,153,0,3,913,15,28,7,13,28,167,143,143,85,11
12921,d_TBs6J3twMy9GChqUEXkg,Jennifer,1641,2010-12-27,25,14,8,0,3,88,9,5,4,2,68,85,162,162,75,4
12922,ffPY_bHX8vLebHu8LBEqfg,Chukki,1016,2009-09-26,338,120,142,0,3,5,6,5,0,0,23,17,22,22,9,3
12923,lYQk0R6sPfo3WeX-l_5BuA,Chris,1257,2009-04-19,227,79,189,0,3,102,7,1,2,4,137,460,221,221,36,28
12937,41kMyI1BfOTyIIAenUSaTQ,D'Arcy,1266,2011-09-06,1070,425,1429,0,3,61,7,4,1,1,73,114,77,77,59,71
13043,YMgZqBUAddmFErxLtCfK_w,Samantha,1561,2009-03-16,1126,139,242,0,3,89,11,9,2,13,58,104,147,147,90,33
13069,1O638BDK_fWuxgTVJwff-A,Rob,1780,2008-01-02,64,65,24,0,3,95,16,10,1,5,98,155,170,170,54,14
13102,uEvusDwoSymbJJ0auR3muQ,Bunny,1117,2011-06-08,6900,5383,5338,0,3,1140,80,149,37,35,849,1486,1795,1795,621,387
13192,uZM3pJLXJwSmHBabnRSFyw,Michael,2828,2013-10-17,15047,2229,4215,0,3,301,120,24,34,5,637,999,437,437,377,634
13217,wo632pzj23-Di2RakSugjQ,Jeff,1126,2007-07-05,8906,3465,9437,0,4,368,67,33,35,48,271,614,581,581,216,50
13308,HFECrzYDpgbS5EmTBtj2zQ,Eric,5258,2007-03-28,3904,3874,3846,0,3,2099,183,246,113,232,1018,6675,3598,3598,1148,332
13312,aTVOFTxVdfdIhdPxcEt1Vg,Fenny,1061,2008-12-09,782,796,751,0,3,720,139,80,90,89,362,487,681,681,295,119
13323,0tvCcnfJnSs55iB6mqPk3w,Daniel,1042,2011-02-06,4580,2183,3763,0,3,642,174,119,45,10,658,1436,1690,1690,875,566
13324,whINg-cC-FiAv_ATDGMDTg,PatrickJ,2435,2012-08-25,5184,5059,5125,0,3,781,188,259,26,66,566,566,918,918,482,730
13482,V5Th21KjUiYLJQyV-vGtpg,"Ben H",1487,2007-10-24,166,130,159,0,3,103,20,14,0,1,95,167,199,199,71,5
13519,Wc5L6iuvSNF5WGBlqIO8nw,Risa,1044,2011-07-30,22121,3599,16325,0,4,769,43,31,40,20,689,2799,1219,1219,212,100
13525,Xwnf20FKuikiHcSpcEbpKQ,Kenneth,6252,2011-06-10,1259,959,986,0,3,85,38,12,1,1,195,487,273,273,73,82
13675,6jz_Yr6_AP2WWLbj9gGDpA,Tim,1019,2006-12-20,3801,3156,3715,0,3,386,76,151,12,14,316,742,991,991,388,527
13971,xxB5F6TJ4J1MlNufCdqz2Q,Monica,1631,2009-06-27,231,310,15,0,3,27,7,8,3,0,48,128,110,110,43,14
13972,VjzK7jhmyC5KManY_z-x0g,Sukhraj,1177,2009-08-14,975,881,920,0,3,776,179,60,49,26,546,900,967,967,318,130
13983,TAZ2UvEzXXbieQMCWn8qhw,Luke,1110,2009-11-03,102,52,62,0,4,21,3,1,0,1,15,17,14,14,16,0
13999,SlgpAnj2gQd44EM_Uq6DkQ,Jeff,1289,2009-07-07,1473,883,1409,0,3,89,28,6,1,77,240,303,334,334,211,141
14026,A2N4y0VeZ-3TtmBVCSVVnQ,Demitri,1503,2010-08-02,74,61,12,0,4,26,6,8,0,0,37,55,65,65,38,7
14178,A0j21z2Q1HGic7jW6e9h7A,Georgie,1120,2010-07-02,61467,59091,60587,0,3,1820,305,328,31,28,1921,3746,3945,3945,1154,1123
14209,Reuq65EOFI938Yg8xgff9g,Faith,1101,2009-03-05,825,66,127,0,3,123,13,10,6,18,110,156,155,155,83,11
14245,yaBIVHDxaUBN2YHQ8-YiuQ,Meredith,1108,2009-03-29,4,15,2,0,3,35,4,7,1,0,36,68,73,73,42,2
14530,9GhiQOLaM6ZGrrFG-SppwQ,Bryan,1342,2009-04-20,173,59,148,0,3,216,28,37,2,17,75,260,294,294,156,32
14577,qkreXL6AorI19QA3f2wvlQ,Vira,1086,2009-10-23,88,35,47,0,3,51,8,2,4,0,42,55,80,80,38,20
14581,QuZbJquRtbY9O9JrB9NpxQ,Jim,1613,2007-07-07,11656,2752,7644,0,3,671,50,50,25,41,388,1624,943,943,251,63
14618,nmdkHL2JKFx55T3nq5VziA,Nijole,5262,2011-11-29,39,67,57,0,3,207,38,15,11,5,198,591,423,423,354,218
14651,CoS9VbTzh74Hh7FSlAKKVA,Elsa,1085,2010-08-03,11088,1816,3977,0,3,552,60,75,105,33,709,2811,957,957,388,255
14659,3nDUQBjKyVor5wV0reJChg,Nelson,1363,2008-12-05,259,243,286,0,4,715,74,39,18,18,424,1019,1479,1479,556,600
14662,Ud6j2HN40qEhycq2PuwcBA,Yan,1442,2005-05-03,62,341,119,0,4,202,19,9,29,13,58,147,223,223,35,37
14679,dfYNTBw--CYlZbFz581kYQ,Meghan,1063,2008-04-15,5280,1574,4069,0,3,1264,70,47,148,43,295,863,1324,1324,298,52
14682,_72QdatN4fPKO5QSNGFYRA,Nick,1025,2011-04-13,5,4,3,0,3,10,1,4,0,0,9,4,16,16,6,0
14762,nzsv-p1O8gCfP3XijfQrIw,Anita,3992,2005-04-12,1595,1621,1386,0,3,1643,194,111,106,30,1160,1717,2365,2365,934,276
14764,gjhzKWsqCIrpEd9pevbKZw,Miriam,3098,2005-09-21,20858,1798,15261,0,3,1957,180,191,390,159,1203,2151,2596,2596,620,274
14765,lCmvpQfFpdxhbWVM59eUCg,Jocelyn,1705,2007-05-14,343,96,78,0,3,42,11,5,13,5,31,41,65,65,45,10
14832,ibZIMJ55dvoqag4_JrQ4sw,MaryLou,1291,2007-11-11,4421,2938,2526,0,3,224,29,13,46,6,109,268,301,301,125,64
14834,MbC0xPzIdGkFMCpPb8yWDA,Hideki,1079,2007-11-30,699,290,629,0,3,73,17,8,2,18,78,119,79,79,39,17
14994,tgrs5VQ6thhouiEtMU-N_w,Edward,2101,2011-01-10,164,100,172,0,3,66,7,0,0,4,58,84,102,102,53,21
14996,3CwMwbY9UgP-qvTDxNs_0g,Michele,1069,2009-07-29,27416,10801,20989,0,3,1553,239,111,79,25,1698,3969,2607,2607,1593,1530
15361,RRtMl0kS2ntfoxcQPJcmZA,Jennifer,1321,2010-11-13,7129,2010,7174,0,3,308,24,18,10,17,257,631,551,551,284,93
15362,1vB6Olfkba7Sb-Y6TfiB0Q,Donald,1239,2008-06-22,865,615,998,0,3,255,34,30,17,16,339,653,469,469,79,49
15379,HiYPfYJD4VN_jvXwxs6H8w,Kassy,1352,2010-09-27,247,145,79,0,3,26,11,9,4,2,49,49,69,69,57,15
